Date,Open,High,Low,Close,Adj Close,Volume
5/1/12,22.629999,22.99,21.85,21.870001,18.173389,829761700
6/1/12,21.76,23,21.4,23,19.301792,572525900
7/1/12,22.85,24.49,22,24.040001,20.174568,867011600
8/1/12,23.92,24.370001,23.59,23.860001,20.023508,587670300
9/1/12,23.790001,25.15,23.629999,24.85,21.046932,543635100
10/1/12,24.799999,26.09,24.799999,24.870001,21.063875,543592000
11/1/12,24.82,25.08,23.549999,25.02,21.19092,684861600
12/1/12,25.040001,25.790001,24.629999,25.08,21.43256,597201100
1/1/13,25.530001,27.84,25.33,27.280001,23.312605,783142300
2/1/13,27.58,27.799999,26.790001,27.370001,23.593937,550543400
3/1/13,27.18,28.9,27.15,28.860001,24.878376,585696000
4/1/13,28.75,31.15,28.639999,29.07,25.059399,777255500
5/1/13,28.83,30.040001,27.23,27.23,23.473251,903776400
6/1/13,27.299999,29.809999,27.120001,28.01,24.346922,2211564500
7/1/13,27.969999,30.43,27.33,29.23,25.407373,765847900
8/1/13,29.43,29.450001,27.76,28.209999,24.720732,512823000
9/1/13,28.379999,29.27,27.860001,28.73,25.176418,508214700
10/1/13,28.58,31.35,28.02,30.690001,26.893988,622467800
11/1/13,30.700001,32.5,30.690001,31.73,27.805349,462250400
12/1/13,31.610001,31.93,29.950001,30.629999,27.049213,528149100
1/1/14,30.469999,31.42,29.66,30.4,26.846096,547269600
2/1/14,31.030001,32.41,30.57,32.110001,28.356194,533056600
3/1/14,31.52,32.959999,30.83,32.119999,28.601551,571300000
4/1/14,31.93,32.689999,29.58,31.280001,27.853563,671875400
5/1/14,31.08,31.58,28.77,29.629999,26.384308,686948500
6/1/14,29.59,29.92,29.15,29.68,26.664396,483671600
7/1/14,29.610001,31.309999,28.700001,28.700001,25.78397,530925600
8/1/14,28.700001,29.67,27.870001,29.389999,26.636812,461117900
9/1/14,29.209999,30.84,29.01,29.57,26.799952,474062800
10/1/14,29.370001,30.200001,27.51,29.950001,27.144358,677081200
11/1/14,29.9,31.639999,29.76,31.15,28.231939,406678200
12/1/14,30.879999,33.119999,30.58,31.15,28.476452,533277200
1/1/15,31.27,33.5,31.01,31.25,28.567869,598198400
2/1/15,31.440001,34.970001,31.02,34.32,31.374378,605350100
3/1/15,34.32,35.450001,33.630001,34.790001,32.08461,654758000
4/1/15,34.84,35.529999,33.709999,33.93,31.291489,556389300
5/1/15,33.860001,34.990002,33.209999,34.75,32.047718,437881000
6/1/15,34.77,34.919998,33.330002,33.529999,31.178444,507648500
7/1/15,33.560001,36.459999,33.080002,36.060001,33.531013,497248200
8/1/15,36.290001,36.299999,28.469999,33.259998,30.92738,626989700
9/1/15,31.459999,33.959999,30.639999,31.41,29.435371,580612600
10/1/15,31.299999,36.07,31.1,33.82,31.693861,679280100
11/1/15,34.169998,35.25,30.99,32.77,30.709875,849907000
12/1/15,33,33.830002,31.84,32.279999,30.494846,739000800
1/1/16,31.85,32.240002,29.59,30.49,28.803837,702633300
2/1/16,30.34,30.9,28.25,29.67,28.029186,850735400
3/1/16,29.790001,30.610001,28.74,29.639999,28.282352,1044553500
4/1/16,29.440001,33.5,29.41,32.709999,31.211733,1185767400
5/1/16,32.560001,34.75,32.5,34.700001,33.110588,610921100
6/1/16,34.700001,35.5,33.529999,35.209999,33.898094,575227900
7/1/16,35.150002,37.189999,35.119999,36.889999,35.515495,350803300
8/1/16,37.02,37.389999,34.610001,34.799999,33.503368,479724100
9/1/16,34.73,34.990002,33.299999,33.869999,32.879074,398195300
10/1/16,33.73,34,31.610001,31.709999,30.78227,397091500
11/1/16,30.940001,33.830002,29.83,32.139999,31.199692,740937300
12/1/16,32.25,33.299999,30.51,31.700001,31.079473,572325700
1/1/17,32.700001,33.700001,30.9,31.73,31.108885,526146400
2/1/17,31.51,34.459999,31.26,34.119999,33.452099,519070400
3/1/17,34.27,34.75,33.720001,34.209999,33.882042,515406000
4/1/17,34.110001,34.52,33.470001,33.919998,33.594822,353037500
5/1/17,33.889999,33.990002,31.969999,32.650002,32.337002,531420900
