Date,Open,High,Low,Close,Adj Close,Volume
5/1/12,64.910004,65.489998,62,62.43,53.461327,278010100
6/1/12,62.040001,67.699997,61.709999,67.559998,58.417572,451142100
7/1/12,67.419998,69.699997,67,69.220001,59.852921,273347200
8/1/12,69.480003,69.75,66.849998,67.43,58.305161,224101500
9/1/12,67.489998,69.639999,66.970001,68.910004,60.12632,200224200
10/1/12,68.919998,72.739998,67.800003,70.82,61.792858,267146700
11/1/12,71.099998,71.900002,68.510002,69.730003,60.841785,211662500
12/1/12,69.800003,71.620003,69.18,70.099998,61.705513,232603000
1/1/13,71.019997,74.800003,70.300003,73.919998,65.068062,209813800
2/1/13,74.139999,77.019997,73.559998,76.110001,66.995819,177978400
3/1/13,75.790001,81.589996,75.730003,81.529999,72.340828,193396300
4/1/13,81.389999,85.889999,80.309998,85.230003,75.623802,218722300
5/1/13,84.5,89.989998,83.879997,84.18,74.692146,220724300
6/1/13,84.279999,87.82,82.120003,85.860001,76.755478,210552200
7/1/13,85.720001,94.419998,85.5,93.5,83.585327,200315600
8/1/13,94.160004,94.400002,85.849998,86.410004,77.247154,204260800
9/1/13,86.889999,90.720001,86,86.690002,78.081337,158876500
10/1/13,86.589996,93.449997,85.5,92.610001,83.41346,173024000
11/1/13,92.379997,95.989998,92.279999,94.660004,85.259888,131026200
12/1/13,94.410004,94.790001,89.769997,91.589996,83.070648,151086000
1/1/14,91.139999,95.379997,88.150002,88.470001,80.240875,192804300
2/1/14,88.75,92.989998,86.089996,92.120003,83.551361,162234700
3/1/14,91.129997,98.599998,90.830002,98.230003,89.734138,181324400
4/1/14,98.309998,101.980003,96.050003,101.290001,92.52948,180242400
5/1/14,100.769997,101.540001,98.879997,101.459999,92.684769,124656300
6/1/14,101.540001,106,101.010002,104.620003,96.237541,123927200
7/1/14,105.150002,106.739998,100.050003,100.089996,92.070496,148795100
8/1/14,99.760002,104.419998,98.800003,103.730003,95.418846,120163600
9/1/14,103.300003,108.769997,103.019997,106.589996,98.712898,130571800
10/1/14,105.980003,108.18,95.099998,107.779999,99.814941,232630100
11/1/14,107.830002,109.489998,106.599998,108.25,100.250214,125669200
12/1/14,107.889999,108.989998,102.5,104.57,97.472885,175446100
1/1/15,105.050003,106.5,100.089996,100.139999,93.343544,194999400
2/1/15,100.489998,103.330002,97.150002,102.510002,95.552711,191367400
3/1/15,102.510002,103.410004,98.220001,100.599998,94.428741,177464600
4/1/15,100.459999,102.139999,98.040001,99.199997,93.114632,171578200
5/1/15,99.620003,104.480003,98.660004,100.139999,93.996956,143779800
6/1/15,100.279999,100.839996,97.010002,97.459999,92.148468,170021000
7/1/15,98.300003,101.360001,96.639999,100.209999,94.748596,151816100
8/1/15,100,101,81.790001,93.980003,88.858131,194634100
9/1/15,92.290001,96.190002,89.900002,93.349998,88.93766,202039800
10/1/15,93.43,102.120003,91.760002,101.029999,96.254646,191671500
11/1/15,101.18,103,99.739998,101.239998,96.454727,126172600
12/1/15,101.730003,105.489998,100.309998,102.720001,98.586197,161997000
1/1/16,101.709999,104.75,94.279999,104.440002,100.236992,211115100
2/1/16,103.610001,106.919998,99.779999,105.209999,100.97599,201552000
3/1/16,105.900002,109.559998,105.440002,108.199997,104.598251,172970400
4/1/16,108,114.190002,107.690002,112.080002,108.349098,158141300
5/1/16,112.220001,115,111.699997,112.690002,108.938789,140870700
6/1/16,112.690002,121.410004,112.07,121.300003,118.099403,167563700
7/1/16,121.300003,126.07,120.790001,125.230003,121.925697,131996000
8/1/16,125.309998,125.900002,118.330002,119.339996,116.191101,138570700
9/1/16,119.190002,119.970001,117.040001,118.129997,115.780296,130378400
10/1/16,118,120.199997,112.989998,115.989998,113.682861,140054500
11/1/16,114.760002,122.5,111.300003,111.300003,109.086159,171115000
12/1/16,111.360001,117.300003,109.32,115.209999,113.698677,138044800
1/1/17,115.779999,117,110.760002,113.25,111.764389,143312500
2/1/17,112.480003,122.879997,112.470001,122.209999,120.60685,133814500
3/1/17,122.489998,129,122.389999,124.550003,123.7295,166544900
4/1/17,124.730003,125.809998,120.949997,123.470001,122.656616,106205200
5/1/17,123.400002,128.800003,122.339996,128.25,127.405121,112537900
